ID,Title,Author,Author_gender,Category,Year_published,Genres,Has_male_author,Has_female_author,Only_male_author,Only_female_author
46,The Haunted Land: Facing Europe'S Ghosts After Communism ,Tina Rosenberg,F,Nonfiction,1995,history; non-fiction; history; politics,FALSE,TRUE,FALSE,TRUE
47,The Insurgents: David Petraeus And The Plot To Change The American Way Of War ,Fred Kaplan,M,Nonfiction,2013,history; non-fiction; war; war; military,TRUE,FALSE,TRUE,FALSE
48,The Last Man,Vince Flynn,M,Fiction,2012,fiction; thriller,TRUE,FALSE,TRUE,FALSE
49,The Lives Of Others,Neel Mukherjee,M,Fiction,2014,fiction; cultural; historical; asian-literature,TRUE,FALSE,TRUE,FALSE
50,The Nightingale,Kristin Hannah,F,Fiction,2015,historical; fiction; historical; war; war,FALSE,TRUE,FALSE,TRUE
51,The Rest Is Noise: Listening To The Twentieth Century ,Alex Ross,M,Nonfiction,2007,music; non-fiction; history; art; music,TRUE,FALSE,TRUE,FALSE
52,The Secret Keeper,Kate Morton,F,Fiction,2012,historical; fiction; mystery; historical; romance,FALSE,TRUE,FALSE,TRUE
53,The Shallows: What The Internet Is Doing To Our Brains ,Nicholas G. Carr,M,Nonfiction,2010,,TRUE,FALSE,TRUE,FALSE
54,The Son ,Philipp Meyer,M,Fiction,2013,fiction; historical; westerns; historical,TRUE,FALSE,TRUE,FALSE
55,The Wrecking Crew,Thomas Frank,M,Nonfiction,2008,politics; non-fiction; history; economics; politics,TRUE,FALSE,TRUE,FALSE
56,Toms River: A Story Of Science And Salvation ,Dan Fagin,M,Nonfiction,2013,non-fiction; science; history; environment; politics,TRUE,FALSE,TRUE,FALSE
57,Umbrella,Will Self,M,Fiction,2012,fiction; historical; novels,TRUE,FALSE,TRUE,FALSE
58,Wisdom Of Our Fathers,Tim Russert,M,Nonfiction,2006,non-fiction; biography; inspirational; autobiography,TRUE,FALSE,TRUE,FALSE
59,Wonderful Life: The Burgess Shale And The Nature Of History ,Stephen Jay Gould,M,Nonfiction,1989,science; non-fiction; science; biology; history,TRUE,FALSE,TRUE,FALSE
60,The Road ,Cormac McCarthy,M,Fiction,2006,fiction; science-fiction; science-fiction; apocalyptic; classics,TRUE,FALSE,TRUE,FALSE
61,The Shipping News ,E. Annie Proulx,F,Fiction,1993,fiction; contemporary; literature,FALSE,TRUE,FALSE,TRUE
62,A Thousand Splendid Suns,Khaled Hosseini,M,Fiction,2007,fiction; historical; contemporary; novels; historical,TRUE,FALSE,TRUE,FALSE
63,"Behind The Beautiful Forevers: Life, Death And Hope In A Mumbai Undercity ",Katherine Boo,F,Nonfiction,2012,non-fiction; cultural; history; cultural,FALSE,TRUE,FALSE,TRUE
64,Between You & Me,Mary Norris,F,Nonfiction,2015,non-fiction; autobiography; language; humanities; humor,FALSE,TRUE,FALSE,TRUE
65,Bring Up The Bodies,Hilary Mantel,F,Fiction,2012,historical; fiction; historical; european-literature; literary-fiction,FALSE,TRUE,FALSE,TRUE
66,"Empire Of The Summer Moon: Quanah Parker And The Rise And Fall Of The Comanches, The Most Powerful Indian Tribe In American History ",S.C. Gwynne,M,Nonfiction,2010,history; non-fiction; biography; north-american-history; historical,TRUE,FALSE,TRUE,FALSE
67,Exhalation,Ted Chiang,M,Fiction,2019,short-stories; science-fiction; fiction; fantasy,TRUE,FALSE,TRUE,FALSE
68,Fingersmith,Sarah Waters,F,Fiction,2002,historical; fiction; lgbt; historical; mystery,FALSE,TRUE,FALSE,TRUE
69,Fire And Fury,Michael Wolff,M,Nonfiction,2018,non-fiction; politics; history; audiobook,TRUE,FALSE,TRUE,FALSE
70,Gilead ,Marilynne Robinson,F,Fiction,2004,fiction; historical; religion; novels,FALSE,TRUE,FALSE,TRUE
71,"Girl, Woman, Other",Bernardine Evaristo,F,Fiction,2019,fiction; feminism; contemporary; short-stories; literary-fiction,FALSE,TRUE,FALSE,TRUE
72,Hillbilly Elegy,JD Vance,M,Nonfiction,2016,non-fiction; autobiography; biography; audiobook,TRUE,FALSE,TRUE,FALSE
73,Housekeeping ,Marilynne Robinson,F,Fiction,1980,fiction; novels; classics; literature; literary-fiction,FALSE,TRUE,FALSE,TRUE
74,Imperial Reckoning: The Untold Story Of Britain'S Gulag In Kenya ,Caroline Elkins,F,Nonfiction,2005,history; cultural; non-fiction; eastern-africa; european-literature,FALSE,TRUE,FALSE,TRUE
75,Into Thin Air: A Personal Account Of The Mt. Everest Disaster ,Jon Krakauer,M,Nonfiction,1997,non-fiction; adventure; autobiography; travel; biography,TRUE,FALSE,TRUE,FALSE
76,March ,Geraldine Brooks,F,Fiction,2005,historical; fiction; historical; military-history; war,FALSE,TRUE,FALSE,TRUE
77,Middlesex ,Jeffrey Eugenides,M,Fiction,2002,fiction; historical; contemporary; lgbt; literary-fiction,TRUE,FALSE,TRUE,FALSE
78,Newjack: Guarding Sing Sing ,Ted Conover,M,Nonfiction,2000,non-fiction; autobiography; mystery; crime; writing,TRUE,FALSE,TRUE,FALSE
79,Olive Kitteridge ,Elizabeth Strout,F,Fiction,2008,fiction; short-stories; literary-fiction; book-club; contemporary,FALSE,TRUE,FALSE,TRUE
80,Oryx And Crake,Margaret Atwood,F,Fiction,2003,fiction; science-fiction; science-fiction; apocalyptic; fantasy,FALSE,TRUE,FALSE,TRUE
81,Outliers,Malcolm Gladwell,M,Nonfiction,2008,non-fiction; psychology; business; self-help; sociology,TRUE,FALSE,TRUE,FALSE
82,Parrot And Olivier In America,Peter Carey,M,Fiction,2009,fiction; historical; historical; literary-fiction; literature,TRUE,FALSE,TRUE,FALSE
83,The Amazing Adventures Of Kavalier & Clay ,Michael Chabon,M,Fiction,2000,fiction; historical; novels,TRUE,FALSE,TRUE,FALSE
84,The Big Short,Michael Lewis,M,Nonfiction,2010,non-fiction; business; economics; economics; history,TRUE,FALSE,TRUE,FALSE
85,The Brief Wondrous Life Of Oscar Wao ,Junot DÌaz,M,Fiction,2007,fiction; contemporary; magical-realism; novels; literary-fiction,TRUE,FALSE,TRUE,FALSE
86,The Corrections ,Jonathan Franzen,M,Fiction,2001,fiction; contemporary; novels,TRUE,FALSE,TRUE,FALSE
87,The Grapes Of Wrath ,John Steinbeck,M,Fiction,1939,classics; fiction; historical; literature,TRUE,FALSE,TRUE,FALSE
88,The Poisonwood Bible ,Barbara Kingsolver,F,Fiction,1998,fiction; historical; cultural; classics; historical,FALSE,TRUE,FALSE,TRUE
89,The Snow Child ,Eowyn Ivey,F,Fiction,2012,fiction; historical; fantasy; magical-realism,FALSE,TRUE,FALSE,TRUE
90,The Things They Carried ,Tim O'Brien,M,Fiction,1990,fiction; historical; war; classics; short-stories,TRUE,FALSE,TRUE,FALSE
91,We Are All Completely Beside Ourselves,Karen Joy Fowler,F,Fiction,2013,fiction; contemporary; literary-fiction,FALSE,TRUE,FALSE,TRUE
92,Where The Crawdads Sing,Delia Owens,F,Fiction,2018,fiction; historical; mystery,FALSE,TRUE,FALSE,TRUE
93,Wolf Hall,Hilary Mantel,F,Fiction,2009,historical; fiction; historical; european-literature; audiobook,FALSE,TRUE,FALSE,TRUE
94,_____ My Dad Says,Justin Halpern,M,Nonfiction,2010,humor; non-fiction; autobiography; humor; biography,TRUE,FALSE,TRUE,FALSE
95,10 Minutes 38 Seconds In This Strange World,Elif Shafak,F,Fiction,2019,fiction; contemporary; literary-fiction; novels; historical,FALSE,TRUE,FALSE,TRUE
96,4 3 2 1,Paul Auster,M,Fiction,2017,fiction; historical; contemporary; literary-fiction,TRUE,FALSE,TRUE,FALSE
97,61 Hours,Lee Child,M,Fiction,2010,thriller; fiction; mystery; mystery,TRUE,FALSE,TRUE,FALSE
98,A Bend In The River,V. S. Naipaul,M,Fiction,1979,fiction; cultural; classics; literature,TRUE,FALSE,TRUE,FALSE
99,A Brief History Of Seven Killings,Marlon James,M,Fiction,2014,fiction; historical; literary-fiction; mystery,TRUE,FALSE,TRUE,FALSE
100,A Colony In A Nation,Chris Hayes,M,Nonfiction,2017,politics; non-fiction; history; race; sociology,TRUE,FALSE,TRUE,FALSE
101,A Conjuring Of Light,V E Schwab,F,Fiction,2017,fantasy; fiction; young-adult; fantasy,FALSE,TRUE,FALSE,TRUE
102,A Dance With Dragons,George R R Martin,M,Fiction,2011,fantasy; fiction; fantasy,TRUE,FALSE,TRUE,FALSE
103,A Fable ,William Faulkner,M,Fiction,1954,fiction; classics,TRUE,FALSE,TRUE,FALSE
104,A Five-Year Sentence,Bernice Rubens,F,Fiction,1978,fiction; european-literature; novels,FALSE,TRUE,FALSE,TRUE
