BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
shoulder,leave,188,0.004514239,75,0.00314439,1.435648402,263
head,own,198,0.004754358,53,0.002222036,2.139640582,251
leg,right,196,0.004706334,54,0.002263961,2.07880531,250
face,close,157,0.00376987,92,0.003857119,-1.023143782,249
hair,gray,168,0.004034001,75,0.00314439,1.282919848,243
mouth,wide,149,0.003577775,92,0.003857119,-1.078077676,241
eye,big,113,0.002713346,126,0.005282576,-1.94688633,239
head,bald,229,0.005498727,5,0.000209626,26.23112904,234
hair,brown,101,0.002425203,128,0.005366426,-2.212774153,229
shoulder,right,171,0.004106037,58,0.002431662,1.688572152,229
hair,short,113,0.002713346,115,0.004821399,-1.776920063,228
head,high,146,0.003505739,82,0.003437867,1.019742475,228
finger,little,132,0.003169572,91,0.003815194,-1.203693611,223
hair,red,95,0.002281131,125,0.005240651,-2.297390928,220
foot,right,166,0.003985977,52,0.002180111,1.828337009,218
eye,very,129,0.003097536,84,0.003521717,-1.136941371,213
eye,full,121,0.002905441,88,0.003689418,-1.269830622,209
eye,suddenly,128,0.003073524,78,0.003270166,-1.063979174,206
hand,glove,122,0.002929453,84,0.003521717,-1.202175712,206
eye,gray,133,0.003193584,68,0.002850914,1.120196559,201
hair,thick,136,0.00326562,61,0.002557438,1.276910856,197
eye,clear,101,0.002425203,95,0.003982895,-1.642293317,196
hand,slowly,143,0.003433703,53,0.002222036,1.545295976,196
eye,little,150,0.003601786,43,0.001802784,1.997902588,193
face,long,132,0.003169572,60,0.002515512,1.260010565,192
face,suddenly,110,0.00264131,81,0.003395942,-1.285703505,191
hand,gently,107,0.002569274,80,0.003354016,-1.30543335,187
arm,long,146,0.003505739,40,0.001677008,2.090472074,186
lip,together,97,0.002329155,89,0.003731343,-1.602015695,186
face,dark,133,0.003193584,52,0.002180111,1.464872423,185
hand,little,66,0.001584786,118,0.004947174,-3.121666946,184
hand,white,98,0.002353167,86,0.003605568,-1.532219093,184
hand,small,94,0.00225712,89,0.003731343,-1.653143855,183
face,very,123,0.002953465,59,0.002473587,1.194000767,182
hand,large,141,0.003385679,38,0.001593158,2.125137437,179
head,sadly,136,0.00326562,40,0.001677008,1.947289055,176
heart,fast,118,0.002833405,56,0.002347812,1.206828301,174
hand,good,138,0.003313644,35,0.001467382,2.258200753,173
head,down,124,0.002977477,45,0.001886634,1.578195051,169
eye,half,109,0.002617298,59,0.002473587,1.05809824,168
face,round,99,0.002377179,68,0.002850914,-1.199284476,167
hand,suddenly,117,0.002809393,50,0.00209626,1.340193056,167
arm,upper,90,0.002161072,75,0.00314439,-1.455014255,165
hand,bare,130,0.003121548,33,0.001383532,2.256217266,163
eye,pale,129,0.003097536,31,0.001299681,2.383304442,160
eye,small,121,0.002905441,38,0.001593158,1.823699502,159
eye,slowly,100,0.002401191,58,0.002431662,-1.012689921,158
hair,thin,127,0.003049513,31,0.001299681,2.346353985,158
eye,deep,89,0.00213706,68,0.002850914,-1.334035541,157
face,thin,111,0.002665322,46,0.001928559,1.382027399,157
hand,long,100,0.002401191,53,0.002222036,1.080626557,153
eye,bloodshot,127,0.003049513,23,0.00096428,3.16247711,150
arm,bare,48,0.001152572,100,0.004192521,-3.637535636,148
finger,long,94,0.00225712,54,0.002263961,-1.003031103,148
foot,own,106,0.002545262,42,0.001760859,1.445466666,148
body,naked,60,0.001440715,84,0.003521717,-2.444423948,144
face,handsome,115,0.00276137,29,0.001215831,2.271178919,144
hair,still,59,0.001416703,82,0.003437867,-2.426667842,141
arm,wide,106,0.002545262,33,0.001383532,1.839684847,139
body,entire,105,0.002521251,34,0.001425457,1.768731408,139
head,suddenly,104,0.002497239,35,0.001467382,1.701832452,139
hand,cold,84,0.002017,53,0.002222036,-1.10165365,137
eye,good,103,0.002473227,33,0.001383532,1.787618295,136
lip,thin,83,0.001992989,53,0.002222036,-1.114926585,136
face,little,75,0.001800893,59,0.002473587,-1.373533456,134
hand,down,89,0.00213706,42,0.001760859,1.21364654,131
finger,middle,100,0.002401191,29,0.001215831,1.97493819,129
head,low,93,0.002233108,33,0.001383532,1.614063121,126
eye,only,81,0.001944965,44,0.001844709,1.054347684,125
hand,tightly,70,0.001680834,54,0.002263961,-1.346927481,124
body,upper,88,0.002113048,34,0.001425457,1.482365371,122
face,hard,78,0.001872929,44,0.001844709,1.01529777,122
