BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,bare,21,0.000972853,74,0.00345649,-3.552942799,95
eye,round,40,0.001853053,55,0.002569013,-1.386367883,95
hair,loose,10,0.000463263,85,0.003970293,-8.570274184,95
face,handsome,84,0.003891411,10,0.000467093,8.331122024,94
hand,suddenly,47,0.002177337,46,0.002148629,1.013361116,93
hand,tightly,34,0.001575095,59,0.00275585,-1.74964075,93
face,hard,50,0.002316316,41,0.001915082,1.209512489,91
face,long,56,0.002594274,35,0.001634826,1.586880385,91
shoulder,broad,79,0.003659779,12,0.000560512,6.529351586,91
skin,pale,30,0.00138979,61,0.002849269,-2.05014402,91
hand,long,44,0.002038358,42,0.001961792,1.039028824,86
head,bald,71,0.003289169,13,0.000607221,5.416755162,84
face,hot,33,0.001528769,50,0.002335466,-1.527678108,83
eye,half,46,0.002131011,36,0.001681536,1.267300308,82
foot,right,37,0.001714074,45,0.00210192,-1.226271346,82
eye,deep,46,0.002131011,34,0.001588117,1.341847385,80
eye,slightly,46,0.002131011,34,0.001588117,1.341847385,80
skin,white,27,0.001250811,53,0.002475594,-1.979191859,80
body,naked,28,0.001297137,51,0.002382176,-1.836487325,79
eye,bloodshot,56,0.002594274,23,0.001074315,2.414817978,79
eye,hard,43,0.001992032,36,0.001681536,1.184650288,79
face,beautiful,24,0.001111832,55,0.002569013,-2.310613138,79
hand,strong,54,0.002501621,25,0.001167733,2.14228852,79
hand,up,55,0.002547948,24,0.001121024,2.272875552,79
leg,right,52,0.002408969,27,0.001261152,1.910133797,79
body,still,47,0.002177337,31,0.001447989,1.503697139,78
face,whole,42,0.001945706,36,0.001681536,1.157100281,78
head,forth,51,0.002362642,27,0.001261152,1.873400455,78
finger,together,34,0.001575095,43,0.002008501,-1.275161903,77
face,small,30,0.00138979,46,0.002148629,-1.546010245,76
hand,warm,53,0.002455295,23,0.001074315,2.285452729,76
mouth,slightly,40,0.001853053,36,0.001681536,1.102000268,76
arm,other,52,0.002408969,23,0.001074315,2.242330979,75
face,full,31,0.001436116,44,0.00205521,-1.431089427,75
hand,quickly,34,0.001575095,41,0.001915082,-1.215852047,75
mouth,own,39,0.001806727,35,0.001634826,1.10514884,74
head,suddenly,38,0.0017604,35,0.001634826,1.07681169,73
mouth,full,34,0.001575095,39,0.001821664,-1.156542191,73
body,little,39,0.001806727,32,0.001494698,1.208756544,71
eye,straight,36,0.001667748,35,0.001634826,1.020137391,71
face,wet,26,0.001204484,45,0.00210192,-1.745078454,71
eye,finally,32,0.001482442,38,0.001774954,-1.197317717,70
eye,sharp,33,0.001528769,37,0.001728245,-1.1304818,70
face,flush,37,0.001714074,33,0.001541408,1.112018452,70
face,young,33,0.001528769,37,0.001728245,-1.1304818,70
leg,bare,19,0.0008802,51,0.002382176,-2.706402374,70
head,sadly,44,0.002038358,25,0.001167733,1.745568424,69
eye,cold,50,0.002316316,18,0.000840768,2.755000669,68
skin,own,38,0.0017604,30,0.00140128,1.256280305,68
eye,only,31,0.001436116,35,0.001634826,-1.13836659,66
face,pink,33,0.001528769,33,0.001541408,-1.008267551,66
head,quickly,28,0.001297137,38,0.001774954,-1.368363105,66
skin,dark,36,0.001667748,30,0.00140128,1.190160289,66
